21
# x y z
-10	0	0
-9	0	0
-8	0	0
-7	0	0
-6	0	0
-5	0	0
-4	0	0
-3	0	0
-2	0	0
-1	0	0
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
171
# a b m n rhoa k ma
7	8	13	14	1.54604665454959e+02	-6.59734457253855e+02	7.50029972991115e-02
8	9	14	15	1.54560018258302e+02	-6.59734457253855e+02	7.50250673969494e-02
9	10	15	16	1.58380278830984e+02	-6.59734457253855e+02	6.43173124780501e-02
10	11	16	17	1.69353556831894e+02	-6.59734457253855e+02	3.91862175872645e-02
11	12	17	18	1.85860186626391e+02	-6.59734457253855e+02	9.40675570837046e-03
12	13	18	19	1.97814299948204e+02	-6.59734457253855e+02	7.90593447875332e-03
13	14	19	20	2.00998867753913e+02	-6.59734457253855e+02	1.17261718673407e-02
14	15	20	21	1.99857068824926e+02	-6.59734457253855e+02	9.81016919794198e-03
1	2	8	9	2.16581932771042e+02	-1.05557513160617e+03	1.27216837481601e-02
2	3	9	10	2.12200676159781e+02	-1.05557513160617e+03	7.94325286607611e-03
3	4	10	11	1.97896174001397e+02	-1.05557513160617e+03	1.15743902981239e-02
4	5	11	12	1.79201745472516e+02	-1.05557513160617e+03	4.38381941854543e-02
5	6	12	13	1.67544477904830e+02	-1.05557513160617e+03	6.99756566120345e-02
6	7	13	14	1.63952191174333e+02	-1.05557513160617e+03	8.08071837869039e-02
7	8	14	15	1.63430247823741e+02	-1.05557513160617e+03	8.31095374167354e-02
8	9	15	16	1.63955484014001e+02	-1.05557513160617e+03	8.07959058926189e-02
9	10	16	17	1.67521316288083e+02	-1.05557513160617e+03	6.99999075168189e-02
10	11	17	18	1.79250478101147e+02	-1.05557513160617e+03	4.38719456469331e-02
11	12	18	19	1.97891620212067e+02	-1.05557513160617e+03	1.15939072961443e-02
12	13	19	20	2.12243268301241e+02	-1.05557513160617e+03	7.94138642630426e-03
13	14	20	21	2.16574850365433e+02	-1.05557513160617e+03	1.27181314515072e-02
1	2	9	10	2.22794557446665e+02	-1.58336269740927e+03	7.78026153139222e-03
2	3	10	11	2.06535890441126e+02	-1.58336269740927e+03	1.33893991195367e-02
3	4	11	12	1.86331562928961e+02	-1.58336269740927e+03	4.73087707425310e-02
4	5	12	13	1.74376189663724e+02	-1.58336269740927e+03	7.36058962050791e-02
5	6	13	14	1.71374835398763e+02	-1.58336269740927e+03	8.34983051867925e-02
6	7	14	15	1.71556428970247e+02	-1.58336269740927e+03	8.52854425753576e-02
7	8	15	16	1.71589868144594e+02	-1.58336269740927e+03	8.52600978554735e-02
8	9	16	17	1.71433022121804e+02	-1.58336269740927e+03	8.34502937049023e-02
9	10	17	18	1.74401607561511e+02	-1.58336269740927e+03	7.35990419493728e-02
10	11	18	19	1.86296944253300e+02	-1.58336269740927e+03	4.73561608262337e-02
11	12	19	20	2.06546097826601e+02	-1.58336269740927e+03	1.34059283285307e-02
12	13	20	21	2.22834621189595e+02	-1.58336269740927e+03	7.77579396684946e-03
1	2	10	11	2.11952541982994e+02	-2.26194671058463e+03	1.49502012067375e-02
2	3	11	12	1.90647321372392e+02	-2.26194671058463e+03	4.99878428200441e-02
3	4	12	13	1.78775230433261e+02	-2.26194671058463e+03	7.60633788923838e-02
4	5	13	14	1.76477481468228e+02	-2.26194671058463e+03	8.47364754897925e-02
