0
# x y z
17
# ab2 rhoa
2.15443469003188e+00	9.98451992609077e+01
3.16227766016838e+00	9.95221744616765e+01
4.64158883361278e+00	9.85637180275876e+01
6.81292069057961e+00	9.59046039427972e+01
1.00000000000000e+01	8.94055443723811e+01
1.46779926762207e+01	7.66315887818867e+01
2.15443469003188e+01	5.87720534110749e+01
3.16227766016838e+01	4.41998154306538e+01
4.64158883361278e+01	4.24833204045250e+01
6.81292069057961e+01	5.49158595510847e+01
1.00000000000000e+02	7.78260521404922e+01
1.46779926762207e+02	1.10444095087801e+02
2.15443469003188e+02	1.54848979346544e+02
3.16227766016838e+02	2.13568645223036e+02
4.64158883361278e+02	2.88400574566079e+02
6.81292069057961e+02	3.79349339706167e+02
1.00000000000000e+03	4.83494826609041e+02
0
